epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.885,1.46814,2.87456,1.50347,0.00508,0.86693,0.1271,0.04714,1.60734,3.2953,1.62537,0.00053979,0.00053979,0.00053979
2,57.1759,1.50619,2.1692,1.50651,0.29234,0.33311,0.26477,0.13747,1.58863,2.69255,1.53855,0.00107377,0.00107377,0.00107377
3,85.5936,1.55228,2.09802,1.53615,0.23686,0.40959,0.28461,0.14894,1.75957,2.85809,1.66479,0.00158574,0.00158574,0.00158574
4,114.218,1.53077,2.0789,1.58581,0.28963,0.4076,0.28136,0.12228,1.82647,3.2415,1.83223,0.00156798,0.00156798,0.00156798
5,142.38,1.48029,2.00051,1.53806,0.31766,0.43568,0.33368,0.13449,1.91339,3.27398,2.08361,0.00153497,0.00153497,0.00153497
6,170.547,1.49621,1.89547,1.57939,0.24554,0.3298,0.23258,0.10918,1.78731,2.58017,1.9998,0.00150197,0.00150197,0.00150197
7,198.824,1.4074,1.85841,1.46971,0.29015,0.32493,0.28808,0.14172,1.74526,2.30177,1.76374,0.00146896,0.00146896,0.00146896
8,227.045,1.42903,1.77653,1.46357,0.21323,0.41313,0.23897,0.12042,1.63905,2.43019,1.60791,0.00143595,0.00143595,0.00143595
9,255.172,1.46887,1.77794,1.49349,0.43369,0.45507,0.39324,0.20395,1.62816,2.28664,1.64595,0.00140295,0.00140295,0.00140295
10,283.512,1.38826,1.63478,1.45553,0.48028,0.49542,0.51487,0.2882,1.52268,1.77431,1.62512,0.00136994,0.00136994,0.00136994
11,311.868,1.36697,1.6887,1.46571,0.43048,0.43479,0.3911,0.21219,1.55248,2.25153,1.6628,0.00133693,0.00133693,0.00133693
12,340.055,1.34836,1.59507,1.46518,0.69076,0.43081,0.52619,0.26315,1.55901,1.88052,1.72263,0.00130393,0.00130393,0.00130393
13,368.258,1.35359,1.65157,1.45936,0.6137,0.45645,0.50686,0.26479,1.63263,1.82396,1.73187,0.00127092,0.00127092,0.00127092
14,396.37,1.33165,1.45837,1.44992,0.46779,0.4569,0.44172,0.22488,1.55612,2.08225,1.70999,0.00123791,0.00123791,0.00123791
15,424.667,1.36832,1.54292,1.50643,0.75647,0.4905,0.55668,0.28953,1.55396,1.71307,1.67486,0.00120491,0.00120491,0.00120491
16,453.053,1.25911,1.44013,1.37192,0.53039,0.56189,0.53635,0.31487,1.45254,1.79633,1.59868,0.0011719,0.0011719,0.0011719
17,481.229,1.21114,1.37617,1.37425,0.56496,0.48348,0.53196,0.31029,1.44889,1.73854,1.57296,0.00113889,0.00113889,0.00113889
18,509.308,1.32095,1.48205,1.41295,0.70478,0.47325,0.55732,0.33587,1.43949,1.62109,1.56048,0.00110589,0.00110589,0.00110589
19,537.591,1.19907,1.36407,1.34945,0.61922,0.49036,0.54703,0.33288,1.36589,1.66835,1.55473,0.00107288,0.00107288,0.00107288
20,565.839,1.16849,1.28205,1.32168,0.55714,0.67573,0.61386,0.36931,1.37283,1.56205,1.51962,0.00103987,0.00103987,0.00103987
